"","cell","year"
"1",60,2019
"2",61,2019
"3",366,2019
"4",367,2019
"5",60,2023
"6",61,2023
"7",366,2023
"8",367,2023
"9",65,2013
"10",65,2015
"11",66,2015
"12",371,2015
"13",74,2022
"14",75,2022
"15",380,2022
"16",381,2022
"17",342,2021
"18",343,2021
"19",62,2019
"20",368,2019
"21",369,2019
"22",62,2020
"23",368,2020
"24",368,2021
"25",369,2021
"26",370,2021
"27",371,2021
"28",676,2021
"29",677,2021
"30",69,2019
"31",375,2019
"32",69,2020
"33",375,2020
"34",379,2024
"35",381,2010
"36",382,2010
"37",385,2011
"38",385,2012
"39",385,2013
"40",384,2014
"41",385,2014
"42",80,2011
"43",386,2011
"44",387,2011
"45",386,2023
"46",678,2015
"47",984,2015
"48",679,2019
"49",375,2010
"50",376,2010
"51",681,2010
"52",682,2010
"53",375,2011
"54",376,2011
"55",681,2011
"56",682,2011
"57",682,2012
"58",683,2012
"59",375,2013
"60",376,2013
"61",681,2013
"62",682,2013
"63",682,2014
"64",683,2014
"65",683,2013
"66",684,2013
"67",377,2015
"68",378,2015
"69",683,2015
"70",684,2015
"71",376,2017
"72",377,2017
"73",682,2017
"74",683,2017
"75",684,2017
"76",683,2020
"77",684,2020
"78",683,2021
"79",684,2021
"80",683,2022
"81",684,2022
"82",683,2023
"83",684,2023
"84",685,2013
"85",686,2013
"86",991,2013
"87",992,2013
"88",685,2015
"89",685,2016
"90",685,2018
"91",685,2019
"92",685,2021
"93",685,2022
"94",991,2022
"95",685,2023
"96",685,2024
"97",379,2021
"98",380,2021
"99",686,2021
"100",384,2010
"101",385,2010
"102",690,2010
"103",691,2010
"104",386,2013
"105",692,2013
"106",693,2013
"107",692,2010
"108",693,2010
"109",692,2011
"110",693,2011
"111",692,2014
"112",693,2014
"113",693,2018
"114",693,2019
"115",388,2014
"116",694,2014
"117",388,2019
"118",694,2019
"119",695,2017
"120",1001,2017
"121",983,2019
"122",984,2019
"123",985,2011
"124",1291,2011
"125",984,2020
"126",985,2020
"127",986,2020
"128",1290,2020
"129",1291,2020
"130",1292,2020
"131",985,2021
"132",988,2013
"133",989,2013
"134",988,2022
"135",989,2022
"136",988,2024
"137",989,2024
"138",1294,2024
"139",1295,2024
"140",991,2012
"141",992,2012
"142",993,2012
"143",1298,2012
"144",992,2014
"145",686,2012
"146",687,2012
"147",994,2012
"148",992,2022
"149",993,2022
"150",994,2013
"151",688,2014
"152",689,2014
"153",994,2014
"154",995,2014
"155",995,2020
"156",996,2020
"157",996,2011
"158",690,2012
"159",691,2012
"160",996,2012
"161",997,2012
"162",996,2013
"163",996,2017
"164",997,2020
"165",1001,2012
"166",1001,2013
"167",1001,2022
"168",1001,2024
"169",1257,2016
"170",1258,2016
"171",1563,2016
"172",1564,2016
"173",1290,2022
"174",1291,2022
"175",1596,2022
"176",1597,2022
"177",1290,2024
"178",1291,2024
"179",1596,2024
"180",1597,2024
"181",988,2011
"182",989,2011
"183",1294,2011
"184",1295,2011
"185",1294,2014
"186",1295,2014
"187",1295,2015
"188",1295,2017
"189",1601,2017
"190",1295,2018
"191",1295,2020
"192",1294,2021
"193",1295,2021
"194",1296,2010
"195",1296,2012
"196",1297,2012
"197",990,2013
"198",1296,2013
"199",1297,2013
"200",1296,2015
"201",1296,2018
"202",1297,2018
"203",1296,2019
"204",1296,2021
"205",1296,2022
"206",1296,2023
"207",991,2023
"208",992,2023
"209",1297,2023
"210",1298,2023
"211",1297,2024
"212",1298,2024
"213",1302,2012
"214",1301,2019
"215",1302,2019
"216",1001,2018
"217",1307,2018
"218",1307,2023
"219",1613,2023
"220",1308,2012
"221",1308,2023
"222",1309,2023
"223",1313,2016
"224",1314,2016
"225",1596,2014
"226",1290,2019
"227",1595,2019
"228",1596,2019
"229",1902,2019
"230",1601,2010
"231",1602,2010
"232",1600,2011
"233",1601,2011
"234",1602,2011
"235",1601,2012
"236",1602,2012
"237",1601,2013
"238",1602,2013
"239",1600,2014
"240",1601,2014
"241",1602,2014
"242",1906,2014
"243",1907,2014
"244",1908,2014
"245",1600,2017
"246",1601,2018
"247",1602,2018
"248",1601,2019
"249",1601,2021
"250",1601,2022
"251",1603,2014
"252",1602,2016
"253",1602,2023
"254",1603,2010
"255",1908,2010
"256",1909,2010
"257",1603,2012
"258",1603,2013
"259",1603,2016
"260",1603,2018
"261",1603,2022
"262",1605,2010
"263",1605,2011
"264",1604,2012
"265",1605,2012
"266",1298,2015
"267",1299,2015
"268",1604,2015
"269",1605,2015
"270",1605,2020
"271",1606,2010
"272",1607,2010
"273",1606,2012
"274",1607,2012
"275",1606,2013
"276",1607,2013
"277",1300,2014
"278",1301,2014
"279",1606,2014
"280",1607,2014
"281",1608,2012
"282",1913,2012
"283",1608,2013
"284",1912,2013
"285",1913,2013
"286",1914,2013
