"","cell","year"
"1",28,2022
"2",334,2022
"3",39,2021
"4",40,2021
"5",65,2013
"6",66,2013
"7",371,2013
"8",65,2017
"9",66,2017
"10",371,2017
"11",372,2017
"12",65,2018
"13",66,2018
"14",371,2018
"15",372,2018
"16",65,2019
"17",65,2020
"18",332,2022
"19",333,2022
"20",638,2022
"21",639,2022
"22",342,2021
"23",368,2018
"24",369,2018
"25",674,2018
"26",675,2018
"27",62,2020
"28",368,2020
"29",369,2020
"30",368,2021
"31",369,2021
"32",62,2022
"33",368,2022
"34",369,2022
"35",62,2024
"36",368,2024
"37",677,2018
"38",370,2021
"39",371,2021
"40",677,2021
"41",79,2012
"42",385,2012
"43",79,2013
"44",80,2013
"45",385,2013
"46",386,2013
"47",385,2022
"48",80,2020
"49",386,2020
"50",391,2021
"51",392,2021
"52",677,2020
"53",678,2020
"54",373,2017
"55",678,2017
"56",679,2017
"57",679,2024
"58",681,2014
"59",682,2014
"60",681,2017
"61",682,2017
"62",376,2018
"63",682,2018
"64",683,2018
"65",683,2013
"66",684,2013
"67",683,2015
"68",684,2015
"69",683,2016
"70",684,2016
"71",683,2017
"72",684,2017
"73",989,2017
"74",990,2017
"75",683,2019
"76",684,2019
"77",683,2020
"78",684,2020
"79",685,2013
"80",685,2019
"81",685,2022
"82",686,2022
"83",379,2023
"84",380,2023
"85",685,2023
"86",686,2023
"87",379,2013
"88",380,2013
"89",686,2013
"90",384,2014
"91",385,2014
"92",690,2014
"93",691,2014
"94",692,2012
"95",693,2012
"96",388,2019
"97",694,2019
"98",982,2019
"99",983,2019
"100",985,2018
"101",1291,2018
"102",985,2021
"103",988,2013
"104",989,2013
"105",988,2020
"106",989,2020
"107",1294,2020
"108",1295,2020
"109",988,2022
"110",989,2022
"111",990,2014
"112",991,2014
"113",991,2024
"114",686,2012
"115",687,2012
"116",688,2012
"117",992,2012
"118",993,2012
"119",994,2012
"120",689,2012
"121",690,2012
"122",995,2012
"123",996,2012
"124",689,2022
"125",690,2022
"126",995,2022
"127",996,2022
"128",997,2012
"129",1302,2012
"130",1303,2012
"131",996,2014
"132",997,2014
"133",996,2024
"134",997,2024
"135",996,2020
"136",997,2020
"137",996,2023
"138",997,2023
"139",1001,2020
"140",1001,2023
"141",1002,2023
"142",1307,2023
"143",1308,2023
"144",1254,2023
"145",1290,2023
"146",1291,2023
"147",1596,2023
"148",1597,2023
"149",985,2015
"150",986,2015
"151",1291,2015
"152",1292,2015
"153",985,2016
"154",986,2016
"155",1291,2016
"156",1292,2016
"157",1295,2011
"158",1294,2013
"159",1295,2013
"160",1294,2014
"161",1295,2014
"162",1295,2018
"163",1601,2018
"164",1295,2019
"165",1295,2021
"166",1295,2023
"167",1601,2023
"168",988,2024
"169",989,2024
"170",1294,2024
"171",1295,2024
"172",1296,2013
"173",1296,2014
"174",1296,2020
"175",991,2022
"176",992,2022
"177",1297,2022
"178",1298,2022
"179",1301,2016
"180",1302,2016
"181",1301,2023
"182",1607,2023
"183",1301,2012
"184",1301,2013
"185",1302,2013
"186",1303,2013
"187",1608,2013
"188",1301,2024
"189",1302,2024
"190",1303,2024
"191",1608,2024
"192",1308,2019
"193",1308,2022
"194",1007,2020
"195",1008,2020
"196",1313,2020
"197",1314,2020
"198",1314,2021
"199",1620,2021
"200",1290,2012
"201",1291,2012
"202",1596,2012
"203",1597,2012
"204",1290,2020
"205",1595,2020
"206",1596,2020
"207",1902,2020
"208",1595,2021
"209",1596,2021
"210",1600,2011
"211",1601,2011
"212",1601,2012
"213",1601,2014
"214",1602,2014
"215",1601,2016
"216",1602,2016
"217",1601,2017
"218",1600,2020
"219",1601,2020
"220",1601,2021
"221",1602,2021
"222",1602,2013
"223",1602,2017
"224",1602,2023
"225",1602,2012
"226",1603,2012
"227",1604,2012
"228",1909,2012
"229",1603,2013
"230",1603,2014
"231",1297,2016
"232",1603,2016
"233",1602,2019
"234",1603,2019
"235",1603,2020
"236",1603,2023
"237",1602,2024
"238",1603,2024
"239",1604,2019
"240",1909,2019
"241",1910,2019
"242",1605,2011
"243",1604,2015
"244",1605,2015
"245",1606,2022
"246",1607,2022
"247",1607,2013
"248",1607,2024
"249",1913,2024
"250",1914,2024
"251",1618,2020
"252",1906,2012
"253",1906,2013
"254",1599,2014
"255",1600,2014
"256",1905,2014
"257",1906,2014
"258",1907,2014
"259",1906,2015
"260",1906,2016
"261",1906,2018
"262",1906,2019
"263",1906,2020
"264",1906,2022
"265",1600,2024
"266",1601,2024
"267",1906,2024
"268",1907,2024
"269",1907,2010
"270",2213,2010
"271",1906,2011
"272",1907,2011
"273",1907,2012
"274",2213,2012
"275",1907,2013
"276",1907,2015
"277",2213,2015
"278",1907,2019
"279",2213,2019
"280",1907,2021
"281",2213,2021
"282",2212,2024
"283",2213,2024
"284",1908,2010
"285",1908,2011
"286",1908,2012
"287",1908,2013
"288",2213,2013
"289",2214,2013
"290",1908,2014
"291",1908,2015
"292",1908,2016
"293",1909,2016
"294",1908,2017
"295",2214,2017
"296",1908,2020
"297",1909,2020
"298",1908,2021
"299",1908,2022
"300",1909,2022
"301",1908,2024
"302",1909,2010
"303",1909,2011
"304",2215,2011
"305",1909,2013
"306",1909,2014
"307",1909,2015
"308",2215,2015
"309",1909,2017
"310",1908,2018
"311",1909,2018
"312",2214,2018
"313",2215,2018
"314",1909,2021
"315",1603,2011
"316",1604,2011
"317",1910,2011
"318",1910,2012
"319",1910,2013
"320",1910,2016
"321",1910,2017
"322",1604,2018
"323",1910,2018
"324",1604,2020
"325",1910,2020
"326",1604,2021
"327",1910,2021
"328",1603,2022
"329",1604,2022
"330",1910,2022
"331",1911,2022
"332",2216,2022
"333",1910,2023
"334",1605,2012
"335",1911,2012
"336",1912,2012
"337",1911,2013
"338",1911,2016
"339",1911,2017
"340",1911,2019
"341",1606,2012
"342",1607,2012
"343",1913,2012
"344",1617,2019
"345",1618,2019
"346",1923,2019
"347",1924,2019
"348",1619,2017
"349",1620,2017
"350",1925,2017
"351",1926,2017
"352",2163,2023
"353",2164,2023
"354",2470,2023
"355",2209,2011
"356",2210,2011
"357",2211,2011
"358",2210,2012
"359",2211,2012
"360",2209,2013
"361",2210,2013
"362",2209,2016
"363",2210,2016
"364",2209,2017
"365",2210,2017
"366",2213,2011
"367",2214,2012
"368",2213,2014
"369",1907,2016
"370",2212,2016
"371",2213,2016
"372",2213,2017
"373",2213,2022
"374",2213,2023
"375",2214,2010
"376",2214,2011
"377",2215,2012
"378",2215,2013
"379",2214,2014
"380",2215,2014
"381",2214,2016
"382",2215,2016
"383",2520,2016
"384",2214,2019
"385",2215,2019
"386",2214,2020
"387",2215,2020
"388",2520,2020
"389",2521,2020
"390",2214,2023
"391",2215,2017
"392",2216,2017
"393",2521,2017
"394",2215,2021
"395",2215,2022
"396",2215,2023
"397",2521,2023
"398",2229,2017
"399",2230,2017
"400",2229,2019
"401",2230,2019
"402",1927,2017
"403",2232,2017
"404",2233,2017
"405",2231,2020
"406",2232,2020
"407",2537,2020
"408",2538,2020
"409",2514,2021
"410",2515,2021
"411",2821,2021
"412",2519,2011
"413",2825,2011
"414",2519,2013
"415",2520,2013
"416",2519,2015
"417",2825,2015
"418",2518,2023
"419",2519,2023
"420",2824,2023
"421",2825,2023
"422",2521,2013
"423",2825,2013
"424",2826,2013
"425",2827,2013
"426",2520,2014
"427",2519,2017
"428",2520,2017
"429",2213,2018
"430",2519,2018
"431",2520,2018
"432",2521,2018
"433",2519,2021
"434",2520,2021
"435",2825,2021
"436",2826,2021
"437",2520,2023
"438",2520,2012
"439",2521,2012
"440",2521,2016
"441",2527,2015
"442",2528,2015
"443",2534,2016
"444",2535,2016
"445",2534,2019
"446",2535,2019
"447",2535,2022
"448",2536,2016
"449",2537,2016
"450",2535,2017
"451",2536,2017
"452",2808,2014
"453",2809,2014
"454",3115,2014
"455",2809,2016
"456",2808,2017
"457",2809,2017
"458",3115,2017
"459",2808,2018
"460",2809,2018
"461",2810,2018
"462",3114,2018
"463",3115,2018
"464",2510,2011
"465",2816,2011
"466",2817,2011
"467",2816,2012
"468",2816,2014
"469",2816,2015
"470",2816,2017
"471",2816,2023
"472",2816,2024
