"","blobnum","year","wt"
"1",1,2022,0.18147855350446
"2",2,2021,0.185754210952659
"3",3,2013,0.140304281150467
"4",4,2017,0.140682553950394
"5",5,2018,0.141137541140962
"6",6,2019,0.140037326018016
"7",7,2020,0.140037326018016
"8",8,2022,0.144916541146919
"9",9,2021,0.145326433777809
"10",10,2018,0.152689548266752
"11",11,2020,0.152610148780666
"12",12,2021,0.152670365404264
"13",13,2022,0.152446341380064
"14",14,2024,0.152273296954923
"15",15,2018,0.135540964689547
"16",16,2021,0.135318181516158
"17",17,2012,0.103582228772995
"18",18,2013,0.0986644326177051
"19",19,2022,0.104273321926594
"20",20,2020,0.100247882384064
"21",21,2021,0.180595313107053
"22",22,2020,0.135830101875218
"23",23,2017,0.14998995679663
"24",24,2024,0.150289679765701
"25",25,2014,0.157191242429061
"26",26,2017,0.157039602677486
"27",27,2018,0.156823288441377
"28",28,2013,0.154687963737309
"29",29,2015,0.154686744529559
"30",30,2016,0.152204602889567
"31",31,2017,0.150516183155432
"32",32,2019,0.153834911925801
"33",33,2020,0.151553381134504
"34",34,2013,0.126669485569
"35",35,2019,0.126669485569
"36",36,2022,0.122805050626455
"37",37,2023,0.12566425424851
"38",38,2013,0.116450695610467
"39",39,2014,0.107308359834256
"40",40,2012,0.11043964288687
"41",41,2019,0.148082443083141
"42",42,2019,0.150444951431494
"43",43,2018,0.143299505993901
"44",44,2021,0.143455459475517
"45",45,2013,0.152879946110579
"46",46,2020,0.153421902050082
"47",47,2022,0.153385747794208
"48",48,2014,0.141988257801558
"49",49,2024,0.124950082302094
"50",50,2012,0.0953969430179719
"51",51,2012,0.102188326645961
"52",52,2022,0.103138075964397
"53",53,2012,0.11944988594523
"54",54,2014,0.123722614768083
"55",55,2024,0.124116204150833
"56",56,2020,0.117986513261112
"57",57,2023,0.117309297143369
"58",58,2024,0.11741184196322
"59",59,2020,0.174090927839279
"60",60,2023,0.178920405694323
"61",61,2023,0.183655773997307
"62",62,2023,0.143677991909946
"63",63,2015,0.14466839448349
"64",64,2016,0.144838202329298
"65",65,2011,0.14891935646534
"66",66,2013,0.149581543175726
"67",67,2014,0.150238555600359
"68",68,2018,0.148926042020817
"69",69,2019,0.14891935646534
"70",70,2021,0.14891935646534
"71",71,2023,0.14891982032771
"72",72,2024,0.151758461012202
"73",73,2013,0.143072840571404
"74",74,2014,0.143072840571404
"75",75,2020,0.143072840571404
"76",76,2022,0.128924123203996
"77",77,2016,0.119074144188597
"78",78,2023,0.112629871823745
"79",79,2012,0.122900667269662
"80",80,2013,0.128600554069566
"81",81,2024,0.126296030032243
"82",82,2019,0.185802135467529
"83",83,2022,0.185802135467529
"84",84,2020,0.204263973293619
"85",85,2021,0.212557466581214
"86",86,2012,0.143457790926599
"87",87,2020,0.143928311377067
"88",88,2021,0.143807177708268
"89",89,2011,0.149343365814316
"90",90,2012,0.148946326971054
"91",91,2014,0.14891704462534
"92",92,2016,0.14891704462534
"93",93,2017,0.148946326971054
"94",94,2020,0.14920491933234
"95",95,2021,0.148945248414273
"96",96,2013,0.144743455648422
"97",97,2017,0.144743455648422
"98",98,2023,0.144743455648422
"99",99,2012,0.136971985356747
"100",100,2013,0.137032620312626
"101",101,2014,0.136640921235085
"102",102,2016,0.136557168533835
"103",103,2019,0.139141273114164
"104",104,2020,0.136640921235085
